state,lga,city,iccm,intervention_mix,source_page
Abia,Aba North,Aba,No iCCM,CM+IPTp+UrbanLLINs+IPTi,75
Abia,Aba South,Aba,No iCCM,CM+IPTp+UrbanLLINs+IPTi,75
Abia,Arochukwu,,No iCCM,CM+IPTp+LLINs+IPTi,75
Abia,Bende,,No iCCM,CM+IPTp+LLINs+IPTi,75
Abia,Ikwuano,,No iCCM,CM+IPTp+LLINs+IPTi,75
Abia,Isiala-Ngwa North,,No iCCM,CM+IPTp+LLINs+IPTi,75
Abia,Isiala-Ngwa South,,No iCCM,CM+IPTp+LLINs+IPTi,75
Abia,Isuikwato,,No iCCM,CM+IPTp+LLINs+IPTi,75
Abia,Obi Nwa,Aba,No iCCM,CM+IPTp+UrbanLLINs+IPTi,75
Abia,Ohafia,,No iCCM,CM+IPTp+LLINs+IPTi,75
Abia,Osisioma Ngwa,Aba,No iCCM,CM+IPTp+UrbanLLINs+IPTi,75
Abia,Ugwunagbo,Aba,No iCCM,CM+IPTp+UrbanLLINs+IPTi,75
Abia,Ukwa East,,No iCCM,CM+IPTp+LLINs+IPTi,75
Abia,Ukwa West,,No iCCM,CM+IPTp+LLINs+IPTi,75
Abia,Umu-Neochi,,No iCCM,CM+IPTp+LLINs+IPTi,75
Abia,Umuahia North,,No iCCM,CM+IPTp+LLINs+IPTi,75
Abia,Umuahia South,,No iCCM,CM+IPTp+LLINs+IPTi,75
Adamawa,Demsa,,No iCCM,CM+IPTp+PBO-LLINs+SMC,75
Adamawa,Fufore,,No iCCM,CM+IPTp+PBO-LLINs+SMC,75
Adamawa,Ganaye,,No iCCM,CM+IPTp+PBO-LLINs+IPTi,75
Adamawa,Gireri,,No iCCM,CM+IPTp+PBO-LLINs+SMC,75
Adamawa,Gombi,,No iCCM,CM+IPTp+PBO-LLINs+SMC,75
Adamawa,Guyuk,,No iCCM,CM+IPTp+PBO-LLINs+SMC,75
Adamawa,Hong,,No iCCM,CM+IPTp+PBO-LLINs+SMC,75
Adamawa,Jada,,No iCCM,CM+IPTp+PBO-LLINs+SMC,75
Adamawa,Lamurde,,No iCCM,CM+IPTp+PBO-LLINs+SMC,75
Adamawa,Madagali,,No iCCM,CM+IPTp+PBO-LLINs+SMC,75
Adamawa,Maiha,,No iCCM,CM+IPTp+PBO-LLINs+SMC,75
Adamawa,Mayo-Belwa,,No iCCM,CM+IPTp+PBO-LLINs+SMC,75
Adamawa,Michika,,No iCCM,CM+IPTp+PBO-LLINs+SMC,75
Adamawa,Mubi North,,No iCCM,CM+IPTp+PBO-LLINs+SMC,75
Adamawa,Mubi South,,No iCCM,CM+IPTp+PBO-LLINs+SMC,75
Adamawa,Numan,,No iCCM,CM+IPTp+PBO-LLINs+SMC,75
Adamawa,Shelleng,,No iCCM,CM+IPTp+PBO-LLINs+SMC,75
Adamawa,Song,,No iCCM,CM+IPTp+PBO-LLINs+SMC,75
Adamawa,Toungo,,iCCM,CM+IPTp+PBO-LLINs+IPTi,75
Adamawa,Yola North,,No iCCM,CM+IPTp+PBO-LLINs+SMC,75
Adamawa,Yola South,,No iCCM,CM+IPTp+PBO-LLINs+SMC,75
Akwa Ibom,Abak,,No iCCM,CM+IPTp+LLINs+IPTi,75
Akwa Ibom,Eastern Obolo,,No iCCM,CM+IPTp+LLINs+IPTi,75
Akwa Ibom,Eket,,No iCCM,CM+IPTp+LLINs+IPTi,75
Akwa Ibom,Esit Eket,,No iCCM,CM+IPTp+LLINs+IPTi,75
Akwa Ibom,Essien Udim,,No iCCM,CM+IPTp+LLINs+IPTi,75
Akwa Ibom,Etim Ekpo,,No iCCM,CM+IPTp+LLINs+IPTi,76
Akwa Ibom,Etinan,,No iCCM,CM+IPTp+LLINs+IPTi,76
Akwa Ibom,Ibeno,,No iCCM,CM+IPTp+LLINs+IPTi,76
Akwa Ibom,Ibesikpo Asutan,,No iCCM,CM+IPTp+LLINs+IPTi,76
Akwa Ibom,Ibiono Ibom,,No iCCM,CM+IPTp+LLINs+IPTi,76
Akwa Ibom,Ika,,No iCCM,CM+IPTp+LLINs+IPTi,76
Akwa Ibom,Ikono,,No iCCM,CM+IPTp+LLINs+IPTi,76
Akwa Ibom,Ikot Abasi,,No iCCM,CM+IPTp+LLINs+IPTi,76
Akwa Ibom,Ikot Ekpene,,No iCCM,CM+IPTp+LLINs+IPTi,76
Akwa Ibom,Ini,,No iCCM,CM+IPTp+LLINs+IPTi,76
Akwa Ibom,Itu,,No iCCM,CM+IPTp+LLINs+IPTi,76
Akwa Ibom,Mbo,,No iCCM,CM+IPTp+LLINs+IPTi,76
Akwa Ibom,Mkpat Enin,,No iCCM,CM+IPTp+LLINs+IPTi,76
Akwa Ibom,Nsit Atai,,No iCCM,CM+IPTp+LLINs+IPTi,76
Akwa Ibom,Nsit Ibom,,No iCCM,CM+IPTp+LLINs+IPTi,76
Akwa Ibom,Nsit Ubium,,No iCCM,CM+IPTp+LLINs+IPTi,76
Akwa Ibom,Obot Akara,,No iCCM,CM+IPTp+LLINs+IPTi,76
Akwa Ibom,Okobo,,No iCCM,CM+IPTp+LLINs+IPTi,76
Akwa Ibom,Onna,,No iCCM,CM+IPTp+LLINs+IPTi,76
Akwa Ibom,Oron,,No iCCM,CM+IPTp+LLINs+IPTi,76
Akwa Ibom,Oruk Anam,,No iCCM,CM+IPTp+LLINs+IPTi,76
Akwa Ibom,Udung Uko,,No iCCM,CM+IPTp+LLINs+IPTi,76
Akwa Ibom,Ukanafun,,No iCCM,CM+IPTp+LLINs+IPTi,76
Akwa Ibom,Uruan,,No iCCM,CM+IPTp+LLINs+IPTi,76
Akwa Ibom,Urue-Offong/Oruko,,No iCCM,CM+IPTp+LLINs+IPTi,76
Akwa Ibom,Uyo,,No iCCM,CM+IPTp+LLINs+IPTi,76
Anambra,Aguata,,No iCCM,CM+IPTp+LLINs+IPTi,76
Anambra,Anambra East,,No iCCM,CM+IPTp+LLINs+IPTi,76
Anambra,Anambra West,,No iCCM,CM+IPTp+LLINs+IPTi,76
Anambra,Anaocha,,No iCCM,CM+IPTp+LLINs+IPTi,76
Anambra,Awka North,,No iCCM,CM+IPTp+LLINs+IPTi,76
Anambra,Awka South,,No iCCM,CM+IPTp+LLINs+IPTi,76
Anambra,Ayamelum,,No iCCM,CM+IPTp+LLINs+IPTi,76
Anambra,Dunukofia,,No iCCM,CM+IPTp+LLINs+IPTi,76
Anambra,Ekwusigo,,No iCCM,CM+IPTp+LLINs+IPTi,76
Anambra,Idemili North,,No iCCM,CM+IPTp+LLINs+IPTi,76
Anambra,Idemili South,,No iCCM,CM+IPTp+LLINs+IPTi,76
Anambra,Ihiala,,No iCCM,CM+IPTp+LLINs+IPTi,76
Anambra,Njikoka,,No iCCM,CM+IPTp+LLINs+IPTi,76
Anambra,Nnewi North,,No iCCM,CM+IPTp+LLINs+IPTi,76
Anambra,Nnewi South,,No iCCM,CM+IPTp+LLINs+IPTi,76
Anambra,Ogbaru,,No iCCM,CM+IPTp+LLINs+IPTi,76
Anambra,Onitsha North,,No iCCM,CM+IPTp+LLINs+IPTi,76
