nmsp_state,nmsp_lga,adm2_pcode,match_method
Abia,Aba North,NG001001,exact
Abia,Aba South,NG001002,exact
Abia,Arochukwu,NG001003,exact
Abia,Bende,NG001004,exact
Abia,Ikwuano,NG001005,exact
Abia,Isiala-Ngwa North,NG001006,exact
Abia,Isiala-Ngwa South,NG001007,exact
Abia,Isuikwato,NG001008,spelling_table
Abia,Obi Nwa,NG001009,spelling_table
Abia,Ohafia,NG001010,exact
Abia,Osisioma Ngwa,NG001011,exact
Abia,Ugwunagbo,NG001012,exact
Abia,Ukwa East,NG001013,exact
Abia,Ukwa West,NG001014,exact
Abia,Umu-Neochi,NG001017,spelling_table
Abia,Umuahia North,NG001015,exact
Abia,Umuahia South,NG001016,exact
Adamawa,Demsa,NG002001,exact
Adamawa,Fufore,NG002002,exact
Adamawa,Ganaye,NG002003,spelling_table
Adamawa,Gireri,NG002005,spelling_table
Adamawa,Gombi,NG002004,exact
Adamawa,Guyuk,NG002006,exact
Adamawa,Hong,NG002007,exact
Adamawa,Jada,NG002008,exact
Adamawa,Lamurde,NG002009,exact
Adamawa,Madagali,NG002010,exact
Adamawa,Maiha,NG002011,exact
Adamawa,Mayo-Belwa,NG002012,exact
Adamawa,Michika,NG002013,exact
Adamawa,Mubi North,NG002014,exact
Adamawa,Mubi South,NG002015,exact
Adamawa,Numan,NG002016,exact
Adamawa,Shelleng,NG002017,exact
Adamawa,Song,NG002018,exact
Adamawa,Toungo,NG002019,exact
Adamawa,Yola North,NG002020,exact
Adamawa,Yola South,NG002021,exact
Akwa Ibom,Abak,NG003001,exact
Akwa Ibom,Eastern Obolo,NG003002,exact
Akwa Ibom,Eket,NG003003,exact
Akwa Ibom,Esit Eket,NG003004,exact
Akwa Ibom,Essien Udim,NG003005,exact
Akwa Ibom,Etim Ekpo,NG003006,exact
Akwa Ibom,Etinan,NG003007,exact
Akwa Ibom,Ibeno,NG003008,exact
Akwa Ibom,Ibesikpo Asutan,NG003009,exact
Akwa Ibom,Ibiono Ibom,NG003010,exact
Akwa Ibom,Ika,NG003011,exact
Akwa Ibom,Ikono,NG003012,exact
Akwa Ibom,Ikot Abasi,NG003013,exact
Akwa Ibom,Ikot Ekpene,NG003014,exact
Akwa Ibom,Ini,NG003015,exact
Akwa Ibom,Itu,NG003016,exact
Akwa Ibom,Mbo,NG003017,exact
Akwa Ibom,Mkpat Enin,NG003018,exact
Akwa Ibom,Nsit Atai,NG003019,exact
Akwa Ibom,Nsit Ibom,NG003020,exact
Akwa Ibom,Nsit Ubium,NG003021,exact
Akwa Ibom,Obot Akara,NG003022,exact
Akwa Ibom,Okobo,NG003023,exact
Akwa Ibom,Onna,NG003024,exact
Akwa Ibom,Oron,NG003025,exact
Akwa Ibom,Oruk Anam,NG003026,exact
Akwa Ibom,Udung Uko,NG003027,exact
Akwa Ibom,Ukanafun,NG003028,exact
Akwa Ibom,Uruan,NG003029,exact
Akwa Ibom,Urue-Offong/Oruko,NG003030,exact
Akwa Ibom,Uyo,NG003031,exact
Anambra,Aguata,NG004001,exact
Anambra,Anambra East,NG004002,exact
Anambra,Anambra West,NG004003,exact
Anambra,Anaocha,NG004004,exact
Anambra,Awka North,NG004005,exact
Anambra,Awka South,NG004006,exact
Anambra,Ayamelum,NG004007,exact
Anambra,Dunukofia,NG004008,exact
Anambra,Ekwusigo,NG004009,exact
Anambra,Idemili North,NG004010,exact
Anambra,Idemili South,NG004011,exact
Anambra,Ihiala,NG004012,exact
Anambra,Njikoka,NG004013,exact
Anambra,Nnewi North,NG004014,exact
Anambra,Nnewi South,NG004015,exact
Anambra,Ogbaru,NG004016,exact
Anambra,Onitsha North,NG004017,exact
Anambra,Onitsha South,NG004018,exact
Anambra,Orumba North,NG004019,exact
Anambra,Orumba South,NG004020,exact
Anambra,Oyi,NG004021,exact
Bauchi,Alkaleri,NG005001,exact
Bauchi,Bauchi,NG005002,exact
Bauchi,Bogoro,NG005003,exact
Bauchi,Damban,NG005004,exact
Bauchi,Darazo,NG005005,exact
Bauchi,Dass,NG005006,exact
Bauchi,Gamawa,NG005007,exact
Bauchi,Ganjuwa,NG005008,exact
Bauchi,Giade,NG005009,exact
Bauchi,Itas/Gadau,NG005010,exact
Bauchi,Jama'are,NG005011,exact
Bauchi,Katagum,NG005012,exact
Bauchi,Kirfi,NG005013,exact
Bauchi,Misau,NG005014,exact
Bauchi,Ningi,NG005015,exact
Bauchi,Shira,NG005016,exact
Bauchi,Tafawa-Balewa,NG005017,exact
Bauchi,Toro,NG005018,exact
Bauchi,Warji,NG005019,exact
Bauchi,Zaki,NG005020,exact
Bayelsa,Brass,NG006001,exact
Bayelsa,Ekeremor,NG006002,exact
Bayelsa,Kolokuma/Opokuma,NG006003,exact
Bayelsa,Nembe,NG006004,exact
Bayelsa,Ogbia,NG006005,exact
Bayelsa,Sagbama,NG006006,exact
Bayelsa,Southern Ijaw,NG006007,exact
Bayelsa,Yenegoa,NG006008,exact
Benue,Ado,NG007001,exact
Benue,Agatu,NG007002,exact
Benue,Apa,NG007003,exact
Benue,Buruku,NG007004,exact
Benue,Gboko,NG007005,exact
Benue,Guma,NG007006,exact
Benue,Gwer East,NG007007,exact
Benue,Gwer West,NG007008,exact
Benue,Katsina-Ala,NG007009,exact
Benue,Konshisha,NG007010,exact
Benue,Kwande,NG007011,exact
Benue,Logo,NG007012,exact
Benue,Makurdi,NG007013,exact
Benue,Obi1,NG007014,suffix_strip
Benue,Ogbadibo,NG007015,exact
Benue,Ohimini,NG007016,exact
Benue,Oju,NG007017,exact
Benue,Okpokwu,NG007018,exact
Benue,Oturkpo,NG007019,exact
Benue,Tarka,NG007020,exact
Benue,Ukum,NG007021,exact
Benue,Ushongo,NG007022,exact
Benue,Vandeikya,NG007023,exact
Borno,Abadam,NG008001,exact
Borno,Askira/Uba,NG008002,exact
Borno,Bama,NG008003,exact
Borno,Bayo,NG008004,exact
Borno,Biu,NG008005,exact
Borno,Chibok,NG008006,exact
Borno,Damboa,NG008007,exact
Borno,Dikwa,NG008008,exact
Borno,Gubio,NG008009,exact
Borno,Guzamala,NG008010,exact
Borno,Gwoza,NG008011,exact
Borno,Hawul,NG008012,exact
Borno,Jere,NG008013,exact
Borno,Kaga,NG008014,exact
Borno,Kala/Balge,NG008015,exact
Borno,Konduga,NG008016,exact
Borno,Kukawa,NG008017,exact
Borno,Kwaya Kusar,NG008018,exact
Borno,Mafa,NG008019,exact
Borno,Magumeri,NG008020,exact
Borno,Maiduguri,NG008021,exact
Borno,Marte,NG008022,exact
Borno,Mobbar,NG008023,exact
Borno,Monguno,NG008024,exact
Borno,Ngala,NG008025,exact
Borno,Nganzai,NG008026,exact
Borno,Shani,NG008027,exact
Cross River,Abi,NG009001,exact
Cross River,Akamkpa,NG009002,exact
Cross River,Akpabuyo,NG009003,exact
Cross River,Bakassi,NG009005,exact
Cross River,Bekwara,NG009006,exact
Cross River,Biase,NG009007,exact
Cross River,Boki,NG009008,exact
Cross River,Calabar South,NG009009,exact
Cross River,Calabar-Municipal,NG009010,exact
Cross River,Etung,NG009011,exact
Cross River,Ikom,NG009012,exact
Cross River,Obanliku,NG009013,exact
Cross River,Obubra,NG009014,exact
Cross River,Obudu,NG009015,exact
Cross River,Odukpani,NG009016,exact
Cross River,Ogoja,NG009017,exact
Cross River,Yakurr,NG009018,exact
Cross River,Yala,NG009019,exact
Delta,Aniocha North,NG010001,exact
Delta,Aniocha South,NG010002,exact
Delta,Bomadi,NG010003,exact
Delta,Burutu,NG010004,exact
Delta,Ethiope East,NG010005,exact
Delta,Ethiope West,NG010006,exact
Delta,Ika North East,NG010007,exact
Delta,Ika South,NG010008,exact
Delta,Isoko North,NG010009,exact
Delta,Isoko South,NG010010,exact
Delta,Ndokwa East,NG010011,exact
Delta,Ndokwa West,NG010012,exact
Delta,Okpe,NG010013,exact
Delta,Oshimili North,NG010014,exact
Delta,Oshimili South,NG010015,exact
Delta,Patani,NG010016,exact
Delta,Sapele,NG010017,exact
Delta,Udu,NG010018,exact
Delta,Ughelli North,NG010019,exact
Delta,Ughelli South,NG010020,exact
Delta,Ukwuani,NG010021,exact
Delta,Uvwie,NG010022,exact
Delta,Warri North,NG010023,exact
Delta,Warri South,NG010024,exact
Delta,Warri South West,NG010025,exact
Ebonyi,Abakaliki,NG011001,exact
Ebonyi,Afikpo North,NG011002,exact
Ebonyi,Afikpo South,NG011003,exact
Ebonyi,Ebonyi,NG011004,exact
Ebonyi,Ezza North,NG011005,exact
Ebonyi,Ezza South,NG011006,exact
Ebonyi,Ikwo,NG011007,exact
Ebonyi,Ishielu,NG011008,exact
Ebonyi,Ivo,NG011009,exact
Ebonyi,Izzi,NG011010,exact
Ebonyi,Ohaozara,NG011011,exact
Ebonyi,Ohaukwu,NG011012,exact
Ebonyi,Onicha,NG011013,exact
Edo,Akoko-Edo,NG012001,exact
Edo,Egor,NG012002,exact
Edo,Esan Central,NG012003,exact
Edo,Esan North East,NG012004,exact
Edo,Esan South East,NG012005,exact
Edo,Esan West,NG012006,exact
Edo,Etsako Central,NG012007,exact
Edo,Etsako East,NG012008,exact
Edo,Etsako West,NG012009,exact
Edo,Igueben,NG012010,exact
Edo,Ikpoba-Okha,NG012011,exact
Edo,Oredo,NG012012,exact
Edo,Orhionmwon,NG012013,exact
Edo,Ovia North East,NG012014,exact
Edo,Ovia South West,NG012015,exact
Edo,Owan East,NG012016,exact
Edo,Owan West,NG012017,exact
Edo,Uhunmwonde,NG012018,exact
Ekiti,Ado Ekiti,NG013001,exact
